"1580774066267","0","0","0"
"1580774076286","248","5","496"
"1580774086307","274","17","161"
"1580774096330","287","17","168"
"1580774106353","298","17","175"
"1580774116375","312","17","183"
"1580774126397","329","17","193"
"1580774136420","349","17","205"
"1580774146434","361","17","212"
"1580774156449","372","17","218"
"1580774166462","382","17","224"
"1580774176474","397","17","233"
"1580774186488","411","17","241"
"1580774196504","427","17","251"
"1580774206518","451","17","265"
"1580774216530","457","17","268"
"1580774323382","0","0","0"
"1580774333401","0","5","0"
"1580774343422","74","5","148"
"1580774353439","145","5","290"
"1580774363456","213","5","426"
"1580774373473","290","5","580"
"1580774383501","370","5","740"
"1580774432830","0","0","0"
"1580774442849","0","5","0"
"1580774452865","22","5","44"
"1580774462882","38","5","76"
"1580774472897","40","5","80"
"1580774482911","56","5","112"
"1580774492924","63","6","105"
"1580774502938","82","6","136"
"1580774512949","93","6","155"
"1580774522963","103","10","103"
"1580774532977","116","10","116"
"1580774542989","130","10","130"
"1580774687181","0","0","0"
"1580774697200","0","5","0"
"1580774707211","22","5","44"
"1580774717225","36","5","72"
"1580774727239","42","5","84"
"1580774737253","53","5","106"
"1580774747265","59","5","118"
"1580774757280","77","5","154"
"1580774767294","93","5","186"
"1580774777306","106","5","212"
"1580774787319","115","5","230"
"1580774797333","126","5","252"
"1580774807347","138","5","276"
"1580774817359","153","5","306"
"1580774827373","166","5","332"
"1580774837387","178","5","356"
"1580774847400","189","5","378"
"1580774857413","205","5","410"
"1580774867428","220","5","440"
"1580774877441","230","5","460"
"1580774910020","0","0","0"
"1580774920036","0","5","0"
"1580774930051","23","5","46"
"1580774940065","33","5","66"
"1580774950078","43","5","86"
"1580774960092","53","5","106"
"1580774970107","57","9","63"
"1580774980124","74","9","82"
"1580774990139","89","9","98"
"1580775000153","103","13","79"
"1580775010166","115","13","88"
"1580775020180","121","13","93"
"1580775030198","133","13","102"
"1580775040215","145","13","111"
"1580775050231","157","13","120"
"1580775060242","172","13","132"
"1580775070256","189","13","145"
"1580775080269","206","13","158"
"1580775090284","213","14","152"
"1580775100299","221","14","157"
"1580775110310","238","16","148"
"1580775120323","255","16","159"
"1580775130337","265","16","165"
"1580775140352","281","16","175"
"1580775150368","285","16","178"
"1580775160382","303","16","189"
"1580775170398","294","16","183"
"1580775180411","304","16","190"
"1580775190423","305","16","190"
"1580775200436","288","16","180"
"1580775210451","293","16","183"
"1580775220467","284","16","177"
"1580775230483","269","17","158"
"1580775240496","243","18","135"
"1580775250513","220","19","115"
